dataset,sample_id,routine_name,latency_group,ble_count,local_count,cloud_count,total_device_count,ha_action_count,native_latency_s,naive_topo_latency_s,latency_gain_s,latency_gain_pct,validation_pass,validation_failure_type,batch_count,max_batch_width,runtime_s,validation_dir
smart-home,2,Arm Blink cameras when Abode is set to Home mode,Group1,0,0,1,1,1,1.2,1.2,0.0,0.0,1,,2,1,0.0765,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_2
smart-home,13,Turn on Home Connect Hood ambient light daily,Group1,0,0,1,1,1,1.25,1.25,0.0,0.0,1,,2,1,0.4183,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_13
smart-home,14,Automatically turn your Hue lights blue whenever it starts to rain,Group1,0,1,0,1,1,0.47,0.47,0.0,0.0,1,,2,1,0.9787,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_14
smart-home,16,Turn on Home Connect Hood light on a special day,Group1,0,0,2,2,1,2.39,1.2273,1.1627,48.65,1,,2,2,0.0169,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_16
smart-home,17,Turn on Home Connect Hood ambient light daily,Group1,0,0,2,2,1,2.04,1.0476,0.9924,48.65,1,,2,2,0.0156,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_17
smart-home,45,Get an Email from Home Connect Hood When Carbon Filter Is Nearly Full,Group1,0,0,2,2,1,1.9,0.9757,0.9243,48.65,1,,2,2,0.0238,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_45
smart-home,48,Set Philips Hue lights to blue when it starts raining,Group1,0,1,0,1,1,0.45,0.45,0.0,0.0,1,,2,1,0.0159,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_48
smart-home,53,Turn off Home Connect Oven with a Button press,Group1,0,0,2,2,1,1.96,1.0065,0.9535,48.65,1,,2,2,0.0198,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_53
smart-home,58,Blink Philips Hue lights and notify if fridge door left open,Group1,0,4,1,5,3,2.17,1.5885,0.5815,26.8,1,,4,4,0.0302,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_58
smart-home,72,Arm Blink system and run SwitchBot scene when you leave home,Group3,3,0,1,4,3,6.43,5.4829,0.9471,14.73,1,,5,2,0.0233,data/baselines/naive_topo_parallel/dataset_groups_latest/smart-home/validation/naive_smart-home_72
