audit_id,dataset,routine_id,routine_name,source,latency_group,protocol_modality,ble_count,local_count,cloud_count,total_device_count,gt_latency_s,coarse_latency_s,micro_latency_s,validator_pass,rollback_layer_count,selected_reason
smart-home:16,smart-home,16,Turn on Home Connect Hood light on a special day,ifttt_sheet1,"G1:(0,3]",Cloud,0,0,2,2,2.39,1.816,1.707,1,0,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path
smart-home:86,smart-home,86,Turn on Philips Hue lights when you arrive home,ifttt_sheet1,"G1:(0,3]",Local,0,9,0,9,2.88,0.922,0.829,1,3,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L3
smart-home:58,smart-home,58,Blink Philips Hue lights and notify if fridge door left open,ifttt_sheet1,"G1:(0,3]",Local+Cloud,0,4,1,5,2.17,0.931,0.929,1,2,macro-level parallelization; batching/writeback merging; accepted after rollback L2
smart-home:122,smart-home,122,Turn on Hue and Kasa lights when you arrive home,ifttt_sheet1,"G1:(0,3]",Local,0,6,0,6,2.1,0.714,0.643,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
smart-home:143,smart-home,143,Disarm Blink when the first person arrives home,ifttt_sheet1,"G1:(0,3]",Cloud,0,0,2,2,2.34,1.778,1.672,1,0,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path
smart-home:116,smart-home,116,Turn on Hue lights when Netatmo temperature rises above threshold,ifttt_sheet1,"G2:(3,6]",Local+Cloud,0,4,4,8,5.69,2.476,2.266,1,3,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L3
smart-home:211,smart-home,211,Turn on Hue and Nanoleaf lights at sunset,ifttt_sheet1,"G2:(3,6]",Local,0,13,0,13,4.97,1.292,1.15,1,1,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L1
smart-home:228,smart-home,228,Activate Home Connect fridge sabbath mode every Friday,ifttt_sheet1,"G3:(6,9]",Cloud,0,0,8,8,7.77,3.263,2.872,1,2,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L2
smart-home:284,smart-home,284,Get IFTTT notification when freezer temperature is high,ifttt_sheet1,"G2:(3,6]",Cloud,0,0,5,5,5.81,3.021,2.704,1,1,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L1
smart-home:232,smart-home,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,ifttt_sheet1,"G2:(3,6]",Local,0,8,0,8,5.15,1.648,1.483,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
smart-home:72,smart-home,72,Arm Blink system and run SwitchBot scene when you leave home,ifttt_sheet1,"G3:(6,9]",BLE+Cloud,3,0,1,4,6.43,4.642,4.345,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
smart-home:210,smart-home,210,Turn off Hue and Nanoleaf lights at bedtime,ifttt_sheet1,"G3:(6,9]",Local,0,13,0,13,6.52,1.695,1.509,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
smart-home:212,smart-home,212,Blink Philips Hue lights and notify if fridge door left open,ifttt_sheet1,"G3:(6,9]",Local+Cloud,0,7,5,12,8.64,3.06,2.74,1,1,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L1
smart-home:248,smart-home,248,Switch your ecobee to your chosen comfort profile as you arrive home,ifttt_sheet1,"G3:(6,9]",Cloud,0,0,7,7,7.49,3.371,3.017,1,2,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L2
smart-home:202,smart-home,202,Color-loop Hue lights when Netatmo CO2 gets high,ifttt_sheet1,"G4:(9,+)",Local+Cloud,0,7,8,15,12.05,3.919,3.451,1,1,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L1
smart-home:205,smart-home,205,Send Roborock home and disarm Blink when a Webhook event fires,ifttt_sheet1,"G4:(9,+)",Cloud,0,0,14,14,15.61,5.307,4.617,1,0,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging
smart-home:240,smart-home,240,Open SwitchBot curtains when your Smart Bed alarm rings,ifttt_sheet1,"G4:(9,+)",BLE,7,0,0,7,12.02,8.414,7.699,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
smart-home:vdev_morning_wakeup_readiness_01,smart-home,vdev_morning_wakeup_readiness_01,Morning Wake-Up Readiness Routine,vdev_benchmark,"G1:(0,3]",BLE+Local+Cloud,7,2,3,12,,,,1,,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging
smart-home:vdev_weekend_whole_home_snapshot_01,smart-home,vdev_weekend_whole_home_snapshot_01,Weekend Whole-Home Snapshot Routine,vdev_benchmark,"G1:(0,3]",BLE+Local+Cloud,8,4,7,19,,,,1,,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging
smart-home:vdev_vacation_departure_final_audit_01,smart-home,vdev_vacation_departure_final_audit_01,Vacation Departure Final Audit,vdev_benchmark,"G1:(0,3]",BLE+Local+Cloud,10,9,10,29,,,,1,,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging
long-chain:189,long-chain,189,Turn on Hue and Nanoleaf lights at sunset [3x long-chain],long_chain_sheet4,"G2:(3,6]",Local,0,18,0,18,5.43,1.412,1.257,1,1,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L1
long-chain:86,long-chain,86,Turn on Philips Hue lights when you arrive home [3x long-chain],long_chain_sheet4,"G3:(6,9]",Local,0,27,0,27,8.64,2.506,2.255,1,1,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L1
long-chain:122,long-chain,122,Turn on Hue and Kasa lights when you arrive home [3x long-chain],long_chain_sheet4,"G3:(6,9]",Local,0,18,0,18,6.3,1.638,1.458,1,1,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L1
long-chain:154,long-chain,154,Turn off Hue and Kasa lights when you leave home [3x long-chain],long_chain_sheet4,"G3:(6,9]",Local,0,18,0,18,6.21,1.615,1.437,1,1,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L1
long-chain:210,long-chain,210,Turn off Hue and Nanoleaf lights at bedtime [3x long-chain],long_chain_sheet4,"G4:(9,+)",Local,0,39,0,39,19.56,5.086,4.526,1,2,macro-level parallelization; micro-level setup overlap; batching/writeback merging; accepted after rollback L2
long-chain:234,long-chain,234,Toggle Kasa lights with Button widget [3x long-chain],long_chain_sheet4,"G4:(9,+)",Local,0,24,0,24,11.4,3.306,2.975,1,0,macro-level parallelization; micro-level setup overlap; batching/writeback merging
long-chain:205,long-chain,205,Send Roborock home and disarm Blink when a Webhook event fires [3x long-chain],long_chain_sheet4,"G4:(9,+)",Cloud,0,0,42,42,46.83,15.922,13.852,1,2,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L2
long-chain:215,long-chain,215,Arm Blink and start Roborock when a Webhook event arrives [3x long-chain],long_chain_sheet4,"G4:(9,+)",Cloud,0,0,33,33,36.33,12.352,10.746,1,2,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L2
long-chain:203,long-chain,203,Turn on SmartThings scene and Hue lights when arriving home [3x long-chain],long_chain_sheet4,"G4:(9,+)",Local+Cloud,0,27,18,45,28.2,7.34,6.462,1,3,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L3
long-chain:213,long-chain,213,Turn off SmartThings scene and Hue lights when leaving home [3x long-chain],long_chain_sheet4,"G4:(9,+)",Local+Cloud,0,24,12,36,17.61,4.137,3.642,1,3,macro-level parallelization; micro-level setup overlap; session reuse/rate-budget path; batching/writeback merging; accepted after rollback L3
