mutation_id,dataset,routine_id,routine_name,latency_group,protocol_modality,rollback_layer_count,mutation_type,mutation_label,expected_compatible_categories,valid_mutation,selection_index
mut_001,smart-home,16,Turn on Home Connect Hood light on a special day,"G1:(0,3]",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,0
mut_002,smart-home,86,Turn on Philips Hue lights when you arrive home,"G1:(0,3]",Local,3,M1_dependent_action_swap,Dependent-action swap,order_violation,1,1
mut_003,smart-home,122,Turn on Hue and Kasa lights when you arrive home,"G1:(0,3]",Local,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,2
mut_004,smart-home,143,Disarm Blink when the first person arrives home,"G1:(0,3]",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,3
mut_005,smart-home,211,Turn on Hue and Nanoleaf lights at sunset,"G2:(3,6]",Local,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,4
mut_006,smart-home,228,Activate Home Connect fridge sabbath mode every Friday,"G3:(6,9]",Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,5
mut_007,smart-home,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,"G2:(3,6]",Local,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,6
mut_008,smart-home,72,Arm Blink system and run SwitchBot scene when you leave home,"G3:(6,9]",BLE+Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,7
mut_009,smart-home,212,Blink Philips Hue lights and notify if fridge door left open,"G3:(6,9]",Local+Cloud,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,8
mut_010,smart-home,248,Switch your ecobee to your chosen comfort profile as you arrive home,"G3:(6,9]",Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,9
mut_011,smart-home,205,Send Roborock home and disarm Blink when a Webhook event fires,"G4:(9,+)",Cloud,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,10
mut_012,smart-home,240,Open SwitchBot curtains when your Smart Bed alarm rings,"G4:(9,+)",BLE,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,11
mut_013,smart-home,vdev_weekend_whole_home_snapshot_01,Weekend Whole-Home Snapshot Routine,"G1:(0,3]",BLE+Local+Cloud,,M1_dependent_action_swap,Dependent-action swap,order_violation,1,12
mut_014,smart-home,vdev_vacation_departure_final_audit_01,Vacation Departure Final Audit,"G1:(0,3]",BLE+Local+Cloud,,M1_dependent_action_swap,Dependent-action swap,order_violation,1,13
mut_015,long-chain,86,Turn on Philips Hue lights when you arrive home [3x long-chain],"G3:(6,9]",Local,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,14
mut_016,long-chain,122,Turn on Hue and Kasa lights when you arrive home [3x long-chain],"G3:(6,9]",Local,1,M1_dependent_action_swap,Dependent-action swap,order_violation,1,15
mut_017,long-chain,210,Turn off Hue and Nanoleaf lights at bedtime [3x long-chain],"G4:(9,+)",Local,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,16
mut_018,long-chain,234,Toggle Kasa lights with Button widget [3x long-chain],"G4:(9,+)",Local,0,M1_dependent_action_swap,Dependent-action swap,order_violation,1,17
mut_019,long-chain,215,Arm Blink and start Roborock when a Webhook event arrives [3x long-chain],"G4:(9,+)",Cloud,2,M1_dependent_action_swap,Dependent-action swap,order_violation,1,18
mut_020,long-chain,203,Turn on SmartThings scene and Hue lights when arriving home [3x long-chain],"G4:(9,+)",Local+Cloud,3,M1_dependent_action_swap,Dependent-action swap,order_violation,1,19
